Name,Role,Location,Experience,Compensation,Status
Aditi Khanna,Analyst,Jaipur,1-2,719261.4,Y
Pooja Kaur,Senior Analyst,Bangalore,2-3,878573.3,Y
Kajal Mehta,Analyst,Bangalore,1-2,730236.1000000001,Y
Amaya Joshi,Analyst,Jaipur,0-1,627000.0,Y
Bilal Kulkarni,Associate,Jaipur,3-4,1073737.5,Y
Girish Reddy,Analyst,Pune,1-2,737584.1000000001,Y
Esha Dhillon,Analyst,Pune,1-2,717283.6000000001,Y
Kashi Nair,Analyst,Bangalore,1-2,721365.7000000001,Y
Himanshu Dhillon,Senior Analyst,Pune,2-3,984935.6000000001,Y
Hetal Bhatia,Senior Analyst,Pune,2-3,902984.5000000001,Y
Anusha Verma,Analyst,Jaipur,1-2,763083.2000000001,Y
Mukta Iyer,Analyst,Bangalore,1-2,748251.9,Y
Hari Menon,Analyst,Pune,0-1,627000.0,N
Jai Menon,Senior Associate,Pune,6-7,1874678.3,Y
Kalpana Sharma,Analyst,Bangalore,1-2,736661.2000000001,Y
Leena Verma,Analyst,Bangalore,1-2,744884.8,Y
Arvind Sinha,Senior Analyst,Jaipur,2-3,808354.8,Y
Anshul Gupta,Analyst,Jaipur,1-2,733701.1000000001,Y
Devi Menon,Senior Associate,Jaipur,1-2,1885467.3750000005,Y
Farhan Gupta,Analyst,Pune,0-1,732171.0000000001,Y
Rajeshwari Joshi,Associate,Bangalore,3-4,1298364.1,Y
Damodar Kumar,Associate,Jaipur,4-5,1002093.4,Y
Om Sinha,Senior Analyst,Bangalore,2-3,931053.2000000001,Y
Kunal Kaur,Analyst,Bangalore,0-1,627000.0,Y
Nishant Reddy,Senior Analyst,Bangalore,2-3,825000.0000000001,N
Gowri Iyer,Analyst,Pune,1-2,765859.6000000001,Y
Akshita Verma,Analyst,Jaipur,0-1,627000.0,Y
Renu Gupta,Senior Associate,Bangalore,5-6,2520199.0,Y
Mira Verma,Analyst,Bangalore,0-1,627000.0,Y
Chhavi Mehta,Associate,Jaipur,4-5,1135475.0,Y
Manasi Kulkarni,Analyst,Bangalore,1-2,740672.9,Y
Kiran Banerjee,Analyst,Bangalore,1-2,769025.4,N
Farah Mehta,Analyst,Pune,0-1,627000.0,N
Kala Gupta,Analyst,Bangalore,0-1,627000.0,Y
Aayush Verma,Analyst,Jaipur,0-1,627000.0,Y
Akanksha Mehta,Analyst,Jaipur,1-2,765097.3,Y
Lohit Reddy,Analyst,Bangalore,1-2,752134.9,Y
Jayesh Chowdhury,Analyst,Bangalore,0-1,627000.0,N
Nirmala Verma,Senior Analyst,Bangalore,2-3,923882.3,Y
Alka Reddy,Analyst,Jaipur,0-1,627000.0,Y
Praveen Joshi,Senior Analyst,Bangalore,2-3,923760.2000000001,Y
Anisha Chowdhury,Analyst,Jaipur,0-1,627000.0,Y
Prema Khanna,Associate,Bangalore,3-4,1380118.3,Y
Pritha Sinha,Associate,Bangalore,4-5,1469602.2000000002,Y
Karthika Joshi,Analyst,Bangalore,0-1,627000.0,N
Kalyani Patel,Analyst,Bangalore,0-1,627000.0,N
Bindiya Pillai,Associate,Jaipur,4-5,1207856.1,Y
Annapurna Mehta,Analyst,Jaipur,0-1,627000.0,Y
Niraj Kumar,Senior Analyst,Bangalore,2-3,822522.8,N
Nila Patel,Senior Analyst,Bangalore,2-3,822954.0000000001,Y
Bhanu Kapoor,Senior Analyst,Jaipur,2-3,926730.2000000001,Y
Deepali Joshi,Senior Associate,Jaipur,0-1,1456952.0625000002,Y
Poornima Mehta,Senior Analyst,Bangalore,2-3,812046.4,Y
Manju Kaur,Analyst,Bangalore,1-2,730365.9,Y
Rajesh Kapoor,Associate,Bangalore,4-5,1391229.4000000001,Y
Kamala Kumar,Analyst,Bangalore,1-2,736105.7000000001,Y
Reena Dhillon,Senior Associate,Bangalore,5-6,2697203.3000000003,Y
Gayathri Kumar,Analyst,Pune,0-1,627000.0,N
Archana Reddy,Analyst,Jaipur,1-2,721818.9,Y
Devang Iyer,Senior Associate,Jaipur,0-1,2056873.5000000002,Y
Rati Rao,Senior Associate,Bangalore,5-6,2107351.4000000004,Y
Bala Verma,Senior Analyst,Jaipur,2-3,866398.5000000001,Y
Atul Bhatia,Senior Analyst,Jaipur,2-3,840933.5000000001,Y
Astha Banerjee,Senior Analyst,Jaipur,2-3,892012.0000000001,Y
Hima Kaur,Senior Analyst,Pune,2-3,905658.6000000001,Y
Aarya Reddy,Analyst,Jaipur,1-2,735740.5000000001,Y
Ravi Bhatia,Senior Associate,Bangalore,6-7,2207729.7,Y
Jyoti Kaur,Analyst,Bangalore,0-1,627000.0,Y
Namrata Kulkarni,Analyst,Bangalore,1-2,764244.8,Y
Abhilasha Kapoor,Analyst,Jaipur,1-2,724516.1000000001,Y
Anmol Dhillon,Analyst,Jaipur,1-2,750263.8,Y
Ajit Dhillon,Analyst,Jaipur,0-1,627000.0,Y
Nishita Kapoor,Senior Analyst,Bangalore,2-3,893200.0000000001,N
Nitesh Nair,Senior Analyst,Bangalore,2-3,887019.1000000001,Y
Arun Iyer,Senior Analyst,Jaipur,2-3,894520.0000000001,Y
Arjun Joshi,Senior Analyst,Jaipur,1-2,796188.8,Y
Nitya Menon,Senior Analyst,Bangalore,1-2,868557.8,Y
Indira Kumar,Associate,Pune,3-4,997826.5000000001,Y
Hrithik Gupta,Senior Analyst,Pune,1-2,975580.1000000001,Y
Nalini Sinha,Analyst,Bangalore,0-1,627000.0,Y
Chandni Kaur,Associate,Jaipur,2-3,1061336.1,N
Avinash Dhillon,Senior Analyst,Jaipur,2-3,841892.7000000001,Y
Inderjit Patel,Associate,Pune,2-3,1090542.2000000002,Y
Rani Khanna,Manager,Bangalore,8-9,3387271.8000000003,Y
Akash Gupta,Analyst,Jaipur,0-1,627000.0,Y
Anuj Sharma,Analyst,Jaipur,0-1,627000.0,Y
Punit Bhatia,Associate,Bangalore,4-5,1202702.6,N
Mehul Kumar,Analyst,Bangalore,1-2,747309.2000000001,Y
Pratyush Kapoor,Senior Analyst,Bangalore,2-3,971118.5000000001,Y
Harshita Chowdhury,Senior Analyst,Pune,2-3,929207.4,Y
Bhoomi Menon,Associate,Jaipur,2-3,1072311.9000000001,Y
Manish Chowdhury,Analyst,Bangalore,1-2,733448.1000000001,Y
Lata Sharma,Analyst,Bangalore,0-1,627000.0,Y
