Name,Role,Location,Experience,Compensation,Status
Aditi Khanna,Analyst,Jaipur,1-2,653874.0,Y
Pooja Kaur,Senior Analyst,Bangalore,2-3,798703.0,Y
Kajal Mehta,Analyst,Bangalore,1-2,663851.0,Y
Amaya Joshi,Analyst,Jaipur,0-1,570000.0,Y
Bilal Kulkarni,Associate,Jaipur,3-4,976125.0,Y
Girish Reddy,Analyst,Pune,1-2,670531.0,Y
Esha Dhillon,Analyst,Pune,1-2,652076.0,Y
Kashi Nair,Analyst,Bangalore,1-2,655787.0,Y
Himanshu Dhillon,Senior Analyst,Pune,2-3,895396.0,Y
Hetal Bhatia,Senior Analyst,Pune,2-3,820895.0,Y
Anusha Verma,Analyst,Jaipur,1-2,693712.0,Y
Mukta Iyer,Analyst,Bangalore,1-2,680229.0,Y
Hari Menon,Analyst,Pune,0-1,570000.0,N
Jai Menon,Senior Associate,Pune,6-7,1704253.0,Y
Kalpana Sharma,Analyst,Bangalore,1-2,669692.0,Y
Leena Verma,Analyst,Bangalore,1-2,677168.0,Y
Arvind Sinha,Senior Analyst,Jaipur,2-3,734868.0,Y
Anshul Gupta,Analyst,Jaipur,1-2,667001.0,Y
Devi Menon,Senior Associate,Jaipur,1-2,1714061.2500000002,Y
Farhan Gupta,Analyst,Pune,0-1,665610.0,Y
Rajeshwari Joshi,Associate,Bangalore,3-4,1180331.0,Y
Damodar Kumar,Associate,Jaipur,4-5,910994.0,Y
Om Sinha,Senior Analyst,Bangalore,2-3,846412.0,Y
Kunal Kaur,Analyst,Bangalore,0-1,570000.0,Y
Nishant Reddy,Senior Analyst,Bangalore,2-3,750000.0,N
Gowri Iyer,Analyst,Pune,1-2,696236.0,Y
Akshita Verma,Analyst,Jaipur,0-1,570000.0,Y
Renu Gupta,Senior Associate,Bangalore,5-6,2291090.0,Y
Mira Verma,Analyst,Bangalore,0-1,570000.0,Y
Chhavi Mehta,Associate,Jaipur,4-5,1032250.0,Y
Manasi Kulkarni,Analyst,Bangalore,1-2,673339.0,Y
Kiran Banerjee,Analyst,Bangalore,1-2,699114.0,N
Farah Mehta,Analyst,Pune,0-1,570000.0,N
Kala Gupta,Analyst,Bangalore,0-1,570000.0,Y
Aayush Verma,Analyst,Jaipur,0-1,570000.0,Y
Akanksha Mehta,Analyst,Jaipur,1-2,695543.0,Y
Lohit Reddy,Analyst,Bangalore,1-2,683759.0,Y
